DATE,IPB50001N
1919-01-01,4.7841
1919-02-01,4.5959
1919-03-01,4.4884
1919-04-01,4.5691
1919-05-01,4.7035
1919-06-01,4.9991
1919-07-01,5.1604
1919-08-01,5.2679
1919-09-01,5.2947
1919-10-01,5.2679
1919-11-01,5.1604
1919-12-01,4.811
1920-01-01,5.4829
1920-02-01,5.5098
1920-03-01,5.5098
1920-04-01,5.1604
1920-05-01,5.4829
1920-06-01,5.4829
1920-07-01,5.1872
1920-08-01,5.2947
1920-09-01,5.1872
1920-10-01,5.0528
1920-11-01,4.5691
1920-12-01,4.0047
1921-01-01,3.924
1921-02-01,3.8703
1921-03-01,3.7628
1921-04-01,3.7896
1921-05-01,3.9778
1921-06-01,3.924
1921-07-01,3.7896
1921-08-01,3.9778
1921-09-01,4.0853
1921-10-01,4.3541
1921-11-01,4.2465
1921-12-01,3.8971
1922-01-01,4.2465
1922-02-01,4.5422
1922-03-01,4.811
1922-04-01,4.5959
1922-05-01,4.8916
1922-06-01,5.1335
1922-07-01,4.9991
1922-08-01,4.9185
1922-09-01,5.2947
1922-10-01,5.6979
1922-11-01,5.8591
1922-12-01,5.6441
1923-01-01,5.6441
1923-02-01,5.8323
1923-03-01,6.101
1923-04-01,6.2085
1923-05-01,6.3698
1923-06-01,6.2892
1923-07-01,6.0742
1923-08-01,6.101
1923-09-01,6.101
1923-10-01,6.101
1923-11-01,5.9398
1923-12-01,5.4829
1924-01-01,5.7248
1924-02-01,5.9667
1924-03-01,5.9667
1924-04-01,5.7516
1924-05-01,5.5366
1924-06-01,5.2679
1924-07-01,5.0528
1924-08-01,5.3754
1924-09-01,5.7248
1924-10-01,5.8591
1924-11-01,5.8054
1924-12-01,5.6441
1925-01-01,5.9667
1925-02-01,6.101
1925-03-01,6.1817
1925-04-01,6.2085
1925-05-01,6.2085
1925-06-01,6.101
1925-07-01,6.101
1925-08-01,6.2085
1925-09-01,6.2892
1925-10-01,6.5042
1925-11-01,6.4504
1925-12-01,6.1817
1926-01-01,6.2085
1926-02-01,6.4236
1926-03-01,6.558
1926-04-01,6.5311
1926-05-01,6.5311
1926-06-01,6.5311
1926-07-01,6.4236
1926-08-01,6.7461
1926-09-01,6.988
1926-10-01,6.988
1926-11-01,6.7461
1926-12-01,6.3161
1927-01-01,6.4236
1927-02-01,6.7461
1927-03-01,6.8805
1927-04-01,6.7461
1927-05-01,6.773
1927-06-01,6.7192
1927-07-01,6.4236
1927-08-01,6.6386
1927-09-01,6.7192
1927-10-01,6.6117
1927-11-01,6.3161
1927-12-01,5.9935
1928-01-01,6.2623
1928-02-01,6.558
1928-03-01,6.7192
1928-04-01,6.7192
1928-05-01,6.773
1928-06-01,6.773
1928-07-01,6.6655
1928-08-01,7.0149
1928-09-01,7.2836
1928-10-01,7.418
1928-11-01,7.1761
1928-12-01,6.773
1929-01-01,7.1761
1929-02-01,7.4718
1929-03-01,7.5793
1929-04-01,7.7943
1929-05-01,7.9824
1929-06-01,7.9018
1929-07-01,7.7405
1929-08-01,7.8749
1929-09-01,8.0362
1929-10-01,7.9018
1929-11-01,7.1761
1929-12-01,6.4504
1930-01-01,6.6386
1930-02-01,6.8805
1930-03-01,6.8267
1930-04-01,6.9073
1930-05-01,6.8805
1930-06-01,6.6117
1930-07-01,6.101
1930-08-01,6.0742
1930-09-01,6.1817
1930-10-01,5.9667
1930-11-01,5.5366
1930-12-01,5.1604
1931-01-01,5.1872
1931-02-01,5.4829
1931-03-01,5.6173
1931-04-01,5.7516
1931-05-01,5.6979
1931-06-01,5.4829
1931-07-01,5.2679
1931-08-01,5.1604
1931-09-01,5.1335
1931-10-01,4.8916
1931-11-01,4.6497
1931-12-01,4.3809
1932-01-01,4.3541
1932-02-01,4.4347
1932-03-01,4.3272
1932-04-01,4.139
1932-05-01,4.0047
1932-06-01,3.8703
1932-07-01,3.6284
1932-08-01,3.7628
1932-09-01,4.2197
1932-10-01,4.3272
1932-11-01,4.139
1932-12-01,3.8971
1933-01-01,3.8971
1933-02-01,4.0315
1933-03-01,3.7628
1933-04-01,4.1122
1933-05-01,4.811
1933-06-01,5.5098
1933-07-01,5.8591
1933-08-01,5.6979
1933-09-01,5.5904
1933-10-01,5.1872
1933-11-01,4.7841
1933-12-01,4.6497
1934-01-01,4.811
1934-02-01,5.2679
1934-03-01,5.5366
1934-04-01,5.6441
1934-05-01,5.7248
1934-06-01,5.6173
1934-07-01,5.1066
1934-08-01,5.1335
1934-09-01,5.026
1934-10-01,5.1066
1934-11-01,4.9453
1934-12-01,5.1335
1935-01-01,5.6173
1935-02-01,5.9398
1935-03-01,5.9129
1935-04-01,5.8323
1935-05-01,5.8323
1935-06-01,5.8323
1935-07-01,5.7516
1935-08-01,6.0742
1935-09-01,6.3161
1935-10-01,6.6117
1935-11-01,6.6117
1935-12-01,6.4504
1936-01-01,6.3161
1936-02-01,6.3161
1936-03-01,6.4236
1936-04-01,6.8805
1936-05-01,7.0955
1936-06-01,7.1224
1936-07-01,7.1224
1936-08-01,7.3643
1936-09-01,7.6599
1936-10-01,7.8749
1936-11-01,7.9018
1936-12-01,7.9018
1937-01-01,7.6868
1937-02-01,8.0093
1937-03-01,8.3318
1937-04-01,8.3856
1937-05-01,8.4931
1937-06-01,8.2512
1937-07-01,8.1168
1937-08-01,8.2512
1937-09-01,8.1974
1937-10-01,7.6868
1937-11-01,6.7461
1937-12-01,5.9667
1938-01-01,5.6979
1938-02-01,5.7516
1938-03-01,5.8323
1938-04-01,5.6979
1938-05-01,5.6441
1938-06-01,5.6441
1938-07-01,5.9398
1938-08-01,6.3967
1938-09-01,6.773
1938-10-01,6.9611
1938-11-01,7.0955
1938-12-01,6.9073
1939-01-01,7.0955
1939-02-01,7.0955
1939-03-01,7.0955
1939-04-01,6.9611
1939-05-01,6.988
1939-06-01,7.2299
1939-07-01,7.3643
1939-08-01,7.4718
1939-09-01,8.0362
1939-10-01,8.5468
1939-11-01,8.7887
1939-12-01,8.735
1940-01-01,8.6006
1940-02-01,8.2512
1940-03-01,8.0362
1940-04-01,8.0899
1940-05-01,8.3587
1940-06-01,8.7081
1940-07-01,8.735
1940-08-01,8.8425
1940-09-01,9.1381
1940-10-01,9.3531
1940-11-01,9.595
1940-12-01,9.8638
1941-01-01,10.0788
1941-02-01,10.2938
1941-03-01,10.5626
1941-04-01,10.5088
1941-05-01,11.0195
1941-06-01,11.2076
1941-07-01,11.2345
1941-08-01,11.4227
1941-09-01,11.5302
1941-10-01,11.6914
1941-11-01,11.7721
1941-12-01,11.9064
1942-01-01,12.1215
1942-02-01,12.2827
1942-03-01,12.3902
1942-04-01,11.9871
1942-05-01,12.0408
1942-06-01,12.1483
1942-07-01,12.3634
1942-08-01,12.7934
1942-09-01,13.089
1942-10-01,13.5459
1942-11-01,13.8685
1942-12-01,14.1641
1943-01-01,14.3254
1943-02-01,14.6748
1943-03-01,14.836
1943-04-01,14.9973
1943-05-01,15.1317
1943-06-01,15.1317
1943-07-01,15.4273
1943-08-01,15.7767
1943-09-01,16.0992
1943-10-01,16.3411
1943-11-01,16.5024
1943-12-01,16.2605
1944-01-01,16.583
1944-02-01,16.798
1944-03-01,16.8249
1944-04-01,16.8249
1944-05-01,16.798
1944-06-01,16.8249
1944-07-01,16.583
1944-08-01,16.7443
1944-09-01,16.5024
1944-10-01,16.5024
1944-11-01,16.368
1944-12-01,16.2605
1945-01-01,16.2874
1945-02-01,16.3411
1945-03-01,16.2874
1945-04-01,16.0186
1945-05-01,15.6692
1945-06-01,15.3735
1945-07-01,14.836
1945-08-01,13.2503
1945-09-01,12.014
1945-10-01,11.4764
1945-11-01,11.9064
1945-12-01,11.8796
1946-01-01,11.3689
1946-02-01,10.8582
1946-03-01,12.014
1946-04-01,11.7721
1946-05-01,11.342
1946-06-01,12.1215
1946-07-01,12.3902
1946-08-01,12.8471
1946-09-01,13.089
1946-10-01,13.2503
1946-11-01,13.304
1946-12-01,13.2772
1947-01-01,13.5459
1947-02-01,13.8147
1947-03-01,13.8685
1947-04-01,13.5997
1947-05-01,13.5191
1947-06-01,13.6266
1947-07-01,12.8471
1947-08-01,13.8147
1947-09-01,14.1641
1947-10-01,14.5672
1947-11-01,14.4597
1947-12-01,14.191
1948-01-01,14.2716
1948-02-01,14.4329
1948-03-01,14.2179
1948-04-01,14.0835
1948-05-01,14.191
1948-06-01,14.4597
1948-07-01,13.8147
1948-08-01,14.621
1948-09-01,14.8629
1948-10-01,15.1854
1948-11-01,14.6748
1948-12-01,14.2179
1949-01-01,14.0566
1949-02-01,14.0835
1949-03-01,13.8147
1949-04-01,13.5191
1949-05-01,13.2503
1949-06-01,13.304
1949-07-01,12.6321
1949-08-01,13.7072
1949-09-01,14.0566
1949-10-01,13.7609
1949-11-01,13.7072
1949-12-01,13.6266
1950-01-01,13.976
1950-02-01,14.1641
1950-03-01,14.621
1950-04-01,14.9704
1950-05-01,15.1048
1950-06-01,15.6961
1950-07-01,15.2392
1950-08-01,16.9593
1950-09-01,17.0937
1950-10-01,17.5506
1950-11-01,16.9593
1950-12-01,16.9324
1951-01-01,17.0399
1951-02-01,17.4162
1951-03-01,17.5506
1951-04-01,17.3624
1951-05-01,17.0668
1951-06-01,17.2549
1951-07-01,15.9917
1951-08-01,16.8518
1951-09-01,17.2549
1951-10-01,17.3893
1951-11-01,17.1743
1951-12-01,16.9324
1952-01-01,17.2012
1952-02-01,17.6043
1952-03-01,17.7118
1952-04-01,17.2549
1952-05-01,16.9593
1952-06-01,17.013
1952-07-01,15.7767
1952-08-01,17.7656
1952-09-01,18.76
1952-10-01,19.1363
1952-11-01,19.1363
1952-12-01,18.8407
1953-01-01,19.0288
1953-02-01,19.5395
1953-03-01,19.7814
1953-04-01,19.5932
1953-05-01,19.5932
1953-06-01,19.647
1953-07-01,18.6794
1953-08-01,19.5932
1953-09-01,19.4857
1953-10-01,19.5932
1953-11-01,18.6794
1953-12-01,17.9269
1954-01-01,18.0075
1954-02-01,18.2763
1954-03-01,18.1956
1954-04-01,17.9806
1954-05-01,18.0075
1954-06-01,18.2225
1954-07-01,17.1474
1954-08-01,18.0075
1954-09-01,18.3838
1954-10-01,18.7869
1954-11-01,18.8407
1954-12-01,18.76
1955-01-01,19.217
1955-02-01,19.7276
1955-03-01,20.1845
1955-04-01,20.3458
1955-05-01,20.507
1955-06-01,20.7489
1955-07-01,19.5932
1955-08-01,20.5877
1955-09-01,21.0983
1955-10-01,21.7434
1955-11-01,21.5284
1955-12-01,21.2058
1956-01-01,21.2596
1956-02-01,21.4746
1956-03-01,21.5015
1956-04-01,21.6359
1956-05-01,21.3133
1956-06-01,21.4209
1956-07-01,19.3782
1956-08-01,21.2058
1956-09-01,21.9853
1956-10-01,22.4153
1956-11-01,21.9853
1956-12-01,21.7703
1957-01-01,21.7703
1957-02-01,22.3078
1957-03-01,22.3347
1957-04-01,21.8778
1957-05-01,21.7165
1957-06-01,22.1734
1957-07-01,20.8564
1957-08-01,22.0659
1957-09-01,22.1197
1957-10-01,21.9853
1957-11-01,21.2058
1957-12-01,20.292
1958-01-01,20.0233
1958-02-01,19.8082
1958-03-01,19.5932
1958-04-01,19.217
1958-05-01,19.3245
1958-06-01,20.2383
1958-07-01,19.2707
1958-08-01,20.6145
1958-09-01,21.3133
1958-10-01,21.5284
1958-11-01,21.824
1958-12-01,21.3671
1959-01-01,21.7434
1959-02-01,22.4153
1959-03-01,22.8991
1959-04-01,23.3291
1959-05-01,23.5979
1959-06-01,24.0548
1959-07-01,22.0928
1959-08-01,22.2272
1959-09-01,22.6572
1959-10-01,22.6841
1959-11-01,22.3347
1959-12-01,23.141
1960-01-01,23.8129
1960-02-01,23.9473
1960-03-01,23.8935
1960-04-01,23.7054
1960-05-01,23.6516
1960-06-01,23.7054
1960-07-01,22.2809
1960-08-01,23.0335
1960-09-01,23.3829
1960-10-01,23.4904
1960-11-01,22.6572
1960-12-01,21.6627
1961-01-01,21.7703
1961-02-01,22.0121
1961-03-01,22.3078
1961-04-01,22.8722
1961-05-01,23.2216
1961-06-01,23.8935
1961-07-01,22.6841
1961-08-01,23.8398
1961-09-01,24.4042
1961-10-01,24.9686
1961-11-01,24.7536
1961-12-01,24.3773
1962-01-01,24.1892
1962-02-01,24.9417
1962-03-01,25.318
1962-04-01,25.4255
1962-05-01,25.4255
1962-06-01,25.7749
1962-07-01,24.4848
1962-08-01,25.2642
1962-09-01,26.2318
1962-10-01,26.3393
1962-11-01,25.8555
1962-12-01,25.2105
1963-01-01,25.4255
1963-02-01,26.2587
1963-03-01,26.6081
1963-04-01,26.8231
1963-05-01,27.0919
1963-06-01,27.6025
1963-07-01,25.7749
1963-08-01,26.5275
1963-09-01,27.71
1963-10-01,28.1669
1963-11-01,27.6563
1963-12-01,26.8769
1964-01-01,27.2263
1964-02-01,28.0326
1964-03-01,28.1669
1964-04-01,28.6238
1964-05-01,28.7582
1964-06-01,29.2151
1964-07-01,27.495
1964-08-01,28.5701
1964-09-01,29.7258
1964-10-01,29.4839
1964-11-01,29.6721
1964-12-01,29.2958
1965-01-01,29.7795
1965-02-01,30.559
1965-03-01,31.204
1965-04-01,31.204
1965-05-01,31.4459
1965-06-01,32.1985
1965-07-01,30.4515
1965-08-01,31.3922
1965-09-01,32.4404
1965-10-01,33.1929
1965-11-01,32.6554
1965-12-01,32.1178
1966-01-01,32.5748
1966-02-01,33.4886
1966-03-01,34.1605
1966-04-01,34.1067
1966-05-01,34.3486
1966-06-01,35.128
1966-07-01,32.951
1966-08-01,34.1336
1966-09-01,35.7193
1966-10-01,36.0956
1966-11-01,35.128
1966-12-01,34.2411
1967-01-01,34.4561
1967-02-01,34.8115
1967-03-01,34.7582
1967-04-01,34.9554
1967-05-01,34.671
1967-06-01,35.4641
1967-07-01,33.1313
1967-08-01,34.947
1967-09-01,35.9692
1967-10-01,36.195
1967-11-01,36.0605
1967-12-01,35.4395
1968-01-01,35.511
1968-02-01,36.4369
1968-03-01,36.7628
1968-04-01,36.5722
1968-05-01,37.0912
1968-06-01,38.0588
1968-07-01,35.6284
1968-08-01,36.6946
1968-09-01,38.1555
1968-10-01,38.2912
1968-11-01,38.1116
1968-12-01,37.021
1969-01-01,37.3799
1969-02-01,38.5041
1969-03-01,38.9972
1969-04-01,38.646
1969-05-01,38.5616
1969-06-01,39.8063
1969-07-01,37.4311
1969-08-01,38.9038
1969-09-01,40.1146
1969-10-01,40.0728
1969-11-01,38.9182
1969-12-01,37.6137
1970-01-01,37.0306
1970-02-01,37.9551
1970-03-01,38.057
1970-04-01,37.7895
1970-05-01,37.8074
1970-06-01,38.5761
1970-07-01,36.3268
1970-08-01,37.527
1970-09-01,38.3594
1970-10-01,37.4744
1970-11-01,36.4639
1970-12-01,36.1228
1971-01-01,36.5857
1971-02-01,37.5381
1971-03-01,37.5991
1971-04-01,37.6639
1971-05-01,37.93
1971-06-01,38.935
1971-07-01,36.404
1971-08-01,37.642
1971-09-01,39.3611
1971-10-01,39.5588
1971-11-01,38.8116
1971-12-01,37.7619
1972-01-01,39.0407
1972-02-01,40.2495
1972-03-01,40.7115
1972-04-01,41.2516
1972-05-01,41.3176
1972-06-01,42.3299
1972-07-01,39.813
1972-08-01,41.5014
