Year,Agriculture,Construction,Manufacturing,Mining and quarrying,Services,plus Import duties,Less : Undistributed FISIM,toe_person,Demand.Industrial,Demand.Transport,Demand.Agriculture,Demand.Non-Energy,Demand.Residential and Commercial,Supply.Crude Oil,Supply.Petroleum Products,Supply.Natural Gas,Supply.Coal and Coke,Supply.Hydropower,Supply.Biodiesel,Supply.Solar,Supply.Biomass,Supply.Biogas,population,ghg_agriculture,ghg_landuse.change.forestry,ghg_waste,ghg_buildings,ghg_industry,ghg_manufacturingconstruction,ghg_transport,ghg_electricityheat,ghg_energyproduction,ghg_otherfuelcombustion,ghg_bunkerfuels
1991,47556.37971,11919.34708,61524.6224,28690.03893,144167.9957,12705.90298,NA,1.38,5809,5806,130,1071,1721,9443,4163,10112,1564,379,0,0,0,0,18547.2,8170000,108660000,8970000,2150000,3980000,15480000,16090000,26530000,8700000,410000,2030000
1992,50815.36132,13198.18796,65836.92886,30004.63235,160281.3908,14017.74621,NA,1.5,6455,6226,391,1222,1867,10175,5098,11381,1640,375,0,0,0,0,19067.5,8510000,108660000,9240000,2290000,3910000,16770000,17200000,26170000,7910000,1220000,2089999.9
1993,49222.99815,14622.7892,75693.62935,28808.29733,181523.9004,14972.06403,NA,1.48,7012,6558,62,2027,2055,10135,5816,11360,1352,419,0,0,0,0,19601.5,8740000,108650000,9500000,2630000,4090000.2,17910000,17910000,29880000,8960000,190000,2320000
1994,48290.6819,16833.94635,83504.18443,30521.6691,199369.9187,18319.05189,NA,1.52,7283,7262,422,1817,2300,13605,2450,12392,1563,561,0,0,0,0,20141.7,8990000,108650000,9770000,2690000,4700000,18520000,19780000,31500000,10420000,1320000,3170000
1995,47069.59512,20381.69848,90709.69651,37518.16632,218566.2829,18764.58355,NA,1.59,8060,7827,446,2994,2556,16159,608,13960,1612,535,0,0,0,0,20681.8,8870000,108330000,10050000,2880000,5010000,20340000,21050000,34790000,10780000,1390000,3340000
1996,49198.24639,23679.18282,107546.393,38612.74411,237957.9111,20227.68753,NA,1.75,9443,8951,486,1744,3162,18255,1098,15567,1677,446,0,0,0,0,21222.6,8670000,104530000,10330000,4060000,5740000,23910000,24040000,38350000,11990000,1520000,3830000
1997,49533.77024,26190.11126,119075.2124,39344.2961,264277.2815,21129.75164,NA,1.96,10106,10201,490,2298,3072,17917,3803,19041,1622,333,0,0,0,0,21769.3,9420000,106430000,10610000,3110000,6390000,23930000,27660000,42110000,13280000,1520000,4020000
1998,48164.1729,19914.16525,100313.379,39481.80587,261287.8191,12183.36584,NA,1.8,10121,9793,307,2023,3314,17132,1920,19101,1731,417,0,0,0,0,22333.5,9740000,135430000,10900000,3210000,6730000,23730000,25870000,44960000,12300000,960000,5370000
1999,48392.43913,19047.85368,115488.9575,42196.24878,272863.3917,14631.03979,NA,1.9,10277,11393,106,1799,3653,17643,1807,21476,1940,647,0,0,0,0,22909.5,9260000,104290000,11190000,4.00E+06,7120000,23150000,31260000,48740000,12130000,330000,4780000
2000,51318.64708,19155.1113,139715.4292,42311.75699,289128.0476,12980.92252,0,2.12,11406,12071,104,2250,3868,21673,-1431,26370,2486,599,0,0,0,0,23494.9,9280000,104800000,11480000,4070000.2,8460000,25960000,33070000,52790000,12650000,330000,4510000
2001,51013.37539,19551.13945,128269.1158,41692.96301,306990.567,12634.39789,0,2.12,11852,13137,98,2378,4048,23590,-1917,25649,2970,607,0,0,0,0,24030.5,9250000,89910000,11760000,3990000,8490000,26540000,35890000,54950000,12750000,310000,4750000
2002,52432.47624,19941.6672,135246.3616,43480.59005,326984.4879,14804.3021,0,2.13,12854,13442,96,2511,4387,22647,-523,26101,3642,456,0,0,0,0,24542.5,9850000,97060000,12250000,4370000,9600000,28530000,36760000,57810000,13190000,3.00E+05,4600000
2003,55300.9301,20238.68831,144517.2705,45983.26791,342017.0563,14526.53236,0,2.27,13472,14271,98,2345,4400,25344,-1409,27257,5316,435,0,0,0,0,25038.1,10610000,96790000,12750000,3790000,10470000,29680000,39130000,61240000,14520000,3.00E+05,4700000
2004,58042.87496,19933.41662,159516.8365,47776.39535,365806.2469,13739.97646,0,2.43,14914,15385,87,2183,4754,25335,-82,29145,7109,501,0,0,0,0,25541.5,11290000,105610000,13230000,4100000,10810000,33439998,42050000,68180000,15410000,270000,5240000
2005,60232.57149,21627.59551,201092.5934,96832.70456,341505.4535,8556.503078,0,2.51,15583,15293,101,2173,5134,24339,-244,33914,6889,446,0,0,0,0,26045.5,11590000,108560000,13720000,4380000,10940000,35260000,41800000,75570000,15810000,320000,5050000
2006,63830.00899,21514.79791,216036.9316,95711.44278,365999.9878,7615.180313,0,2.49,15248,14819,258,2819,5425,24910,-1671,34917,7299,554,0,0,0,0,26549.9,11400000,96680000,14530000,4550000,12040000,38050000,40040000,79810000,15660000,790000,5480000
2007,64705.53316,23351.78728,222747.0455,97701.51458,402759.9175,7973.715517,0,2.64,16454,15717,281,2958,6197,26571,-1190,36638,8848,558,0,0,0,0,27058.4,11860000,103330000,15270000,6040000,12350000,43580000,42680000,86520000,15580000,830000,5430000
2008,67188.42302,24375.02258,224451.0949,95335.4508,437372.6644,10100.75583,0,2.71,16205,16395,287,2876,6205,26776,-1780,39289,9782,642,0,0,0,0,27567.6,12290000,99580000,15880000,5460000,13470000,43350000,44820000,97500000,16250000,840000,5310000
2009,67224.67939,25876.30482,204312.6961,89145.01151,449882.4545,9385.02825,0,2.62,14312,16119,211,3868,6336,26386,95,35851,10623,574,0,0,0,0,28081.5,10990000,117690000,16549999,5010000,13560000,29710000,43930000,92190000,15230000,590000,5270000
2010,91679.8941,31207.79967,212927.168,99325.60038,465003.1838,8485.273855,0,2.65,12928,16828,1074,3696,6951,22487,2521,35447,14777,540,0,0,0,0,28588.6,12300000,109290000,17040000,5620000,13260000,30550000,45350000,106840000,14210000,3280000,5940000
2011,97957.29328,32656.85569,224503.0239,94435.31284,497605.8382,9571.512797,NA,2.69,12100,17070,916,6377,6993,24679,2224,35740,14772,656,24,0,0,0,29062,12420000,-118330000,17500000,5130000,14430000,28620000,45810000,110860000,14120000,2780000,6820000
2012,98899.73277,38582.49929,234416.3369,95960.69319,530179.7326,11065.92095,NA,2.88,13919,19757,1053,7497,7065,28053,1449,38648,15882,779,115,11,183,4,29510,12570000,-121050000,17920000,4420000,15230000,32070000,45630000,109230000,15920000,3180000,6490000
2013,100860.9361,42687.42059,242412.6926,97108.87651,561691.7235,11699.7447,NA,2.95,13496,22357,1051,7277,7403,27154,5320,39973,15067,1003,188,38,297,6,30213.7,11640000,-119800000,18650000,4550000,16379999,29200000,59850000,114160000,17830000,3160000,8730000
2014,102923.9051,47691.64154,257207.444,100335.515,598883.7927,12873.36946,NA,2.95,13162,24327,1045,6217,7458,26765,6657,40113,15357,1152,300,63,181,12,30708.5,11720000,-102410000,19250000,4190000,17510000,28710000,66980004,119540000,19490000,3080000,8680000
2015,97539,55384,215674,103060,643883,14699,NA,2.9,13971,23435,895,5928,7559,24971,4195,41853,17406,1346,389,75,189,18,31186.1,11640000,-117770000,19600000,3990000,17170000,28920000,62990000,123940000,20510000,2700000,8900000
2016,93979,59507,223258,105367,680560,15999,NA,2.96,16019,24004,415,8729,8051,27757,3570,41257,18744,1723,389,90,198,21,31633.5,11550000,71770000,19940000,4200000,18220000,29720000,64730004,118900000,19180000,1150000,8170000
2017,99508,63521,234729,105838,723362,18077,NA,2.95,17463,24039,673,12517,7796,27471,1908,41201,20771,2287,379,93,194,41,32022.6,11200000,63190000,20280000,5390000,18460000,32550000,62370000,109770000,17990000,3050000,9320000
2018,99634,66193,245144,103557,772988,16545,NA,2.96,19046,23555,1021,13262,7774,25735,3694,40939,22280,2265,436,172,241,147,32382.3,10520000,69240000,20620000,3390000,19340000,35570000,62620000,125770000,16950000,3010000,9180000
2019,101572,66453,254608,102887,820578,16180,NA,3.03,18921,25004,927,13631,8001,25523,7289,41410,21057,2251,648,124,199,106,32523,10450000,71950000,20960000,3370000,19990000,34860000,66720000,125980000,17090000,2700000,8850000
2020,99109,53614,243719,92878,777691,15346,NA,2.891,17714,18660,867,11805,8123,23101,2672,39940,24788,2348,791,181,231,140,32447.4,10360000,65670000,21310000,3290000,22750000,32890000,61370000,131470000,16100000,2550000,3180000
2021,99000,50889,262747,93717,794551,15646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32576.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,99072,53442,277627,96199,881309,16784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32698.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,46111,27666,136099,47802,449448,8721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33379.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8600000,108660000,8710000,2200000,3810000,14090000,14950000,19040000,8090000,0,1820000
